frame,nb of entities,FPS,frame length,physics length,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-load-miss-ratio
0,3,301,0.002074,0.000036,502104.000000,33589.000000,0.066896
1,4,301,0.003322,0.000034,574966.000000,34512.000000,0.060024
2,5,301,0.003322,0.000037,612794.000000,34772.000000,0.056743
3,6,301,0.003321,0.000029,578073.000000,34985.000000,0.060520
4,7,301,0.003322,0.000034,587784.000000,34402.000000,0.058528
5,8,301,0.003325,0.000033,541612.000000,30677.000000,0.056640
6,9,301,0.003325,0.000033,576392.000000,36500.000000,0.063325
7,10,302,0.003319,0.000038,603318.000000,34809.000000,0.057696
8,11,302,0.003330,0.000030,587754.000000,35189.000000,0.059870
9,12,302,0.003319,0.000036,596867.000000,35449.000000,0.059392
10,13,302,0.003326,0.000037,563670.000000,31057.000000,0.055098
11,14,302,0.003325,0.000041,598488.000000,35423.000000,0.059187
12,15,302,0.003320,0.000038,608996.000000,35092.000000,0.057623
13,16,302,0.003326,0.000072,689405.000000,40291.000000,0.058443
14,17,302,0.003330,0.000052,627812.000000,37710.000000,0.060066
15,18,302,0.003314,0.000064,607589.000000,34208.000000,0.056301
16,19,302,0.003325,0.000053,636509.000000,37588.000000,0.059053
17,19,302,0.003326,0.000049,613665.000000,36868.000000,0.060078
18,20,302,0.003319,0.000063,645680.000000,38027.000000,0.058894
19,21,302,0.003327,0.000056,630160.000000,37375.000000,0.059310
20,22,302,0.003324,0.000062,604745.000000,34311.000000,0.056736
21,23,302,0.003321,0.000067,657547.000000,38839.000000,0.059067
22,24,302,0.003324,0.000065,642934.000000,37896.000000,0.058942
23,24,302,0.003322,0.000066,696816.000000,38463.000000,0.055198
24,25,302,0.003321,0.000074,740110.000000,38975.000000,0.052661
25,26,302,0.003326,0.000058,632012.000000,34663.000000,0.054845
26,27,302,0.003327,0.000071,674510.000000,39000.000000,0.057820
27,28,302,0.003317,0.000145,679808.000000,40898.000000,0.060161
28,29,302,0.003324,0.000074,678573.000000,38733.000000,0.057080
29,30,302,0.003326,0.000078,707239.000000,40570.000000,0.057364
30,31,302,0.003322,0.000116,677322.000000,36425.000000,0.053778
31,32,302,0.003318,0.000086,731357.000000,39234.000000,0.053645
32,33,302,0.003330,0.000073,712882.000000,39411.000000,0.055284
33,33,302,0.003314,0.000072,714009.000000,40120.000000,0.056190
34,34,302,0.003323,0.000078,730894.000000,39338.000000,0.053822
35,35,302,0.003323,0.000080,712561.000000,35733.000000,0.050147
36,36,302,0.003325,0.000112,752022.000000,41931.000000,0.055758
37,37,302,0.003321,0.000087,777996.000000,40486.000000,0.052039
38,38,302,0.003326,0.000084,743019.000000,39746.000000,0.053493
39,39,302,0.003318,0.000098,764109.000000,39714.000000,0.051974
40,40,302,0.003327,0.000076,731245.000000,35943.000000,0.049153
41,40,302,0.003326,0.000082,743993.000000,38843.000000,0.052209
42,41,302,0.003320,0.000105,771595.000000,40199.000000,0.052099
43,42,302,0.003325,0.000089,770549.000000,39408.000000,0.051143
44,43,302,0.003326,0.000090,776960.000000,40042.000000,0.051537
45,44,302,0.003320,0.000115,766165.000000,37322.000000,0.048713
46,45,302,0.003327,0.000093,781699.000000,40460.000000,0.051759
47,46,302,0.003324,0.000107,785252.000000,40243.000000,0.051249
48,47,302,0.003320,0.000116,800020.000000,41138.000000,0.051421
49,47,302,0.003324,0.000104,795612.000000,40104.000000,0.050406
50,47,302,0.003326,0.000094,754592.000000,36046.000000,0.047769
51,48,302,0.003321,0.000122,813214.000000,40732.000000,0.050088
52,48,302,0.003325,0.000094,790558.000000,39483.000000,0.049943
53,49,302,0.003323,0.000111,825825.000000,40888.000000,0.049512
54,49,302,0.003323,0.000102,794255.000000,40403.000000,0.050869
55,50,302,0.003323,0.000112,779890.000000,36471.000000,0.046764
56,50,302,0.003329,0.000095,792364.000000,40180.000000,0.050709
57,51,302,0.003316,0.000108,840944.000000,41553.000000,0.049412
58,51,302,0.003325,0.000098,824315.000000,40072.000000,0.048612
59,52,302,0.003322,0.000175,857627.000000,50362.000000,0.058722
60,53,300,0.003322,0.000102,839429.000000,37974.000000,0.045238
61,54,300,0.003325,0.000094,861936.000000,41545.000000,0.048200
62,55,300,0.003330,0.000108,849587.000000,41410.000000,0.048741
63,56,300,0.003316,0.000127,836499.000000,41042.000000,0.049064
64,57,300,0.003325,0.000119,875124.000000,40765.000000,0.046582
65,58,300,0.003327,0.000104,847387.000000,37913.000000,0.044741
66,59,300,0.003319,0.000136,885388.000000,42211.000000,0.047675
67,59,300,0.003319,0.000123,887196.000000,41118.000000,0.046346
68,59,300,0.003331,0.000100,881246.000000,42075.000000,0.047745
69,60,300,0.003317,0.000143,921803.000000,43341.000000,0.047018
70,60,300,0.003323,0.000124,830349.000000,37672.000000,0.045369
71,61,300,0.003319,0.000134,923291.000000,42046.000000,0.045539
72,62,300,0.003324,0.000111,910962.000000,42649.000000,0.046818
73,63,300,0.003322,0.000122,905488.000000,41944.000000,0.046322
74,64,300,0.003327,0.000122,914049.000000,42122.000000,0.046083
75,64,300,0.003323,0.000129,871038.000000,38347.000000,0.044024
76,65,300,0.003323,0.000124,914822.000000,41859.000000,0.045756
77,66,300,0.003327,0.000131,941794.000000,42400.000000,0.045020
78,66,300,0.003323,0.000128,909589.000000,41686.000000,0.045829
79,67,300,0.003324,0.000128,917146.000000,41949.000000,0.045739
80,68,300,0.003326,0.000127,898736.000000,38452.000000,0.042785
81,69,300,0.003323,0.000141,951141.000000,43192.000000,0.045411
82,70,300,0.003327,0.000146,956631.000000,44092.000000,0.046091
83,71,300,0.003321,0.000165,990510.000000,48038.000000,0.048498
84,72,300,0.003319,0.000159,975289.000000,42987.000000,0.044076
85,73,300,0.003324,0.000155,943712.000000,39016.000000,0.041343
86,74,300,0.003328,0.000155,990555.000000,43956.000000,0.044375
87,75,300,0.003319,0.000166,984976.000000,43940.000000,0.044610
88,76,300,0.003324,0.000160,1000908.000000,43760.000000,0.043720
89,76,300,0.003327,0.000158,997560.000000,43257.000000,0.043363
90,77,300,0.003325,0.000219,997827.000000,40849.000000,0.040938
91,78,300,0.003322,0.000179,1046411.000000,44226.000000,0.042264
92,79,300,0.003325,0.000176,1054977.000000,44368.000000,0.042056
93,79,300,0.003318,0.000180,1047389.000000,44217.000000,0.042216
94,80,300,0.003323,0.000184,1085239.000000,45401.000000,0.041835
95,81,300,0.003326,0.000189,1049194.000000,41244.000000,0.039310
96,82,300,0.003318,0.000194,1116783.000000,45414.000000,0.040665
97,82,300,0.003323,0.000171,1097242.000000,44830.000000,0.040857
98,82,300,0.003330,0.000186,1088757.000000,44695.000000,0.041051
99,82,300,0.003318,0.000196,1100548.000000,44791.000000,0.040699
100,83,300,0.003323,0.000182,1124821.000000,41386.000000,0.036793
101,84,300,0.003326,0.000183,1147174.000000,46090.000000,0.040177
102,85,300,0.003319,0.000187,1169098.000000,46173.000000,0.039495
103,86,300,0.003326,0.000184,1145431.000000,45292.000000,0.039541
104,87,300,0.003327,0.000184,1175787.000000,46179.000000,0.039275
105,88,300,0.003320,0.000198,1155640.000000,43280.000000,0.037451
106,89,300,0.003326,0.000192,1196633.000000,46696.000000,0.039023
107,90,300,0.003327,0.000199,1218444.000000,46819.000000,0.038425
108,91,300,0.003319,0.000210,1248378.000000,47542.000000,0.038083
109,92,300,0.003326,0.000209,1239969.000000,47715.000000,0.038481
110,92,300,0.003327,0.000203,1196290.000000,42440.000000,0.035476
111,93,300,0.003321,0.000214,1254273.000000,47625.000000,0.037970
112,94,300,0.003324,0.000215,1309403.000000,47922.000000,0.036598
113,95,300,0.003326,0.000225,1309172.000000,48336.000000,0.036921
114,96,300,0.003319,0.000231,1348861.000000,49201.000000,0.036476
115,97,300,0.003327,0.000234,1308183.000000,45257.000000,0.034595
116,98,300,0.003326,0.000234,1393244.000000,49754.000000,0.035711
117,99,300,0.003320,0.000289,1440715.000000,51791.000000,0.035948
118,100,300,0.003323,0.000254,1460085.000000,50908.000000,0.034866
119,101,300,0.003327,0.000258,1468813.000000,50710.000000,0.034524
120,102,300,0.003322,0.000270,1455479.000000,47928.000000,0.032929
121,103,300,0.003324,0.000274,1513508.000000,50808.000000,0.033570
122,104,300,0.003327,0.000279,1558095.000000,51597.000000,0.033115
123,105,300,0.003322,0.000293,1540207.000000,51527.000000,0.033455
124,106,300,0.003324,0.000284,1587620.000000,52085.000000,0.032807
125,107,300,0.003329,0.000298,1559696.000000,50086.000000,0.032113
126,107,300,0.003321,0.000301,1593810.000000,54072.000000,0.033926
127,108,300,0.003320,0.000316,1598297.000000,53539.000000,0.033498
128,109,300,0.003328,0.000331,1637757.000000,54887.000000,0.033514
129,110,300,0.003320,0.000348,1638686.000000,54798.000000,0.033440
130,111,300,0.003319,0.000346,1689653.000000,52653.000000,0.031162
131,111,300,0.003325,0.000319,1704163.000000,55612.000000,0.032633
132,112,300,0.003321,0.000337,1752027.000000,56054.000000,0.031994
133,113,300,0.003327,0.000329,1717075.000000,55203.000000,0.032149
134,114,300,0.003325,0.000327,1742127.000000,55707.000000,0.031976
135,115,300,0.003323,0.000414,1734215.000000,56167.000000,0.032388
136,116,300,0.003323,0.000340,1815210.000000,56921.000000,0.031358
137,117,300,0.003329,0.000344,1782817.000000,56057.000000,0.031443
138,118,300,0.003320,0.000350,1835243.000000,57437.000000,0.031297
139,119,300,0.003325,0.000349,1798113.000000,56686.000000,0.031525
140,119,300,0.003325,0.000345,1758301.000000,52582.000000,0.029905
141,120,300,0.003320,0.000363,1811624.000000,56248.000000,0.031048
142,121,300,0.003322,0.000350,1873878.000000,57486.000000,0.030678
143,122,300,0.003330,0.000371,1894435.000000,58710.000000,0.030991
144,123,300,0.003319,0.000381,1935227.000000,58593.000000,0.030277
145,124,300,0.003323,0.000379,1879612.000000,54673.000000,0.029087
146,125,300,0.003327,0.000387,1956089.000000,58992.000000,0.030158
147,126,300,0.003320,0.000394,1999549.000000,61026.000000,0.030520
148,126,300,0.003323,0.000387,1960866.000000,60271.000000,0.030737
149,126,300,0.003326,0.000395,1961469.000000,60258.000000,0.030721
150,126,300,0.003323,0.000395,1917841.000000,56429.000000,0.029423
151,126,300,0.003323,0.000387,2012456.000000,61272.000000,0.030446
152,127,300,0.003326,0.000427,2103049.000000,66508.000000,0.031625
153,128,300,0.003315,0.000424,2098520.000000,67634.000000,0.032229
154,129,300,0.003325,0.000375,2091978.000000,62534.000000,0.029892
155,129,300,0.003325,0.000488,2070437.000000,59601.000000,0.028787
156,130,300,0.003322,0.000425,2162220.000000,65048.000000,0.030084
157,131,300,0.003322,0.000472,2119000.000000,61137.000000,0.028852
158,132,300,0.003326,0.000472,2202664.000000,69020.000000,0.031335
159,133,300,0.003315,0.000545,2203634.000000,67491.000000,0.030627
160,134,300,0.003324,0.000495,2213103.000000,60194.000000,0.027199
161,135,300,0.003330,0.000528,2265476.000000,64684.000000,0.028552
162,136,300,0.003318,0.000527,2262372.000000,64262.000000,0.028405
163,137,300,0.003325,0.000516,2294094.000000,63740.000000,0.027784
164,137,300,0.003328,0.000532,2331682.000000,65736.000000,0.028193
165,138,300,0.003319,0.000590,2311613.000000,61511.000000,0.026610
166,138,300,0.003322,0.000526,2384147.000000,66101.000000,0.027725
167,139,300,0.003328,0.000516,2380188.000000,67004.000000,0.028151
168,140,300,0.003318,0.000554,2390242.000000,67220.000000,0.028123
169,141,300,0.003324,0.000550,2388326.000000,66691.000000,0.027924
170,141,300,0.003327,0.000488,2397054.000000,63548.000000,0.026511
171,141,300,0.003322,0.000562,2402435.000000,65942.000000,0.027448
172,142,300,0.003325,0.000561,2438312.000000,67732.000000,0.027778
173,143,300,0.003327,0.000526,2555989.000000,69310.000000,0.027117
174,144,300,0.003321,0.000586,2524005.000000,69106.000000,0.027380
175,145,300,0.003330,0.000597,2509365.000000,64245.000000,0.025602
176,146,300,0.003317,0.000702,2621512.000000,70778.000000,0.026999
177,147,300,0.003321,0.000625,2621861.000000,70463.000000,0.026875
178,147,300,0.003325,0.000601,2589214.000000,68960.000000,0.026634
179,147,300,0.003326,0.000541,2621986.000000,70199.000000,0.026773
180,148,300,0.003321,0.000629,2651444.000000,66118.000000,0.024937
181,149,300,0.003323,0.000631,2723509.000000,71986.000000,0.026431
182,149,300,0.003327,0.000554,2670006.000000,70232.000000,0.026304
183,150,300,0.003319,0.000523,2711546.000000,71015.000000,0.026190
184,151,300,0.003321,0.000639,2809163.000000,73156.000000,0.026042
185,152,300,0.003328,0.000731,2957190.000000,74762.000000,0.025281
186,153,300,0.003317,0.000900,3009183.000000,106995.000000,0.035556
187,154,300,0.003319,0.000932,3055255.000000,110989.000000,0.036327
188,155,300,0.003325,0.000553,2909356.000000,75447.000000,0.025933
189,156,300,0.003320,0.000689,2908783.000000,75044.000000,0.025799
190,156,300,0.003324,0.000676,2880403.000000,69824.000000,0.024241
191,157,300,0.003327,0.000628,2936234.000000,76555.000000,0.026073
192,158,300,0.003325,0.000704,2967683.000000,75031.000000,0.025283
193,159,300,0.003321,0.000718,3007069.000000,77229.000000,0.025682
194,160,300,0.003324,0.000648,3033799.000000,78270.000000,0.025799
195,160,300,0.003320,0.000735,3015727.000000,72751.000000,0.024124
196,160,300,0.003325,0.000731,3079563.000000,78567.000000,0.025512
197,160,300,0.003323,0.000656,3019122.000000,77801.000000,0.025769
198,161,300,0.003319,0.000742,3067706.000000,76857.000000,0.025054
199,162,300,0.003324,0.000748,3171285.000000,79857.000000,0.025181
200,163,300,0.003322,0.000696,3173625.000000,76338.000000,0.024054
201,163,300,0.003320,0.000784,3267346.000000,80450.000000,0.024622
202,164,300,0.003321,0.000848,3296149.000000,81861.000000,0.024835
203,165,300,0.003325,0.000733,3351008.000000,83994.000000,0.025065
204,166,300,0.003323,0.000806,3349471.000000,83402.000000,0.024900
205,166,300,0.003322,0.000803,3371858.000000,79334.000000,0.023528
206,167,300,0.003326,0.000746,3453742.000000,84310.000000,0.024411
207,168,300,0.003320,0.000851,3412073.000000,83949.000000,0.024604
208,169,300,0.003323,0.000824,3496812.000000,84657.000000,0.024210
209,169,300,0.003323,0.000772,3497454.000000,85851.000000,0.024547
210,170,300,0.003325,0.000849,3558864.000000,82993.000000,0.023320
211,171,300,0.003320,0.001134,3777702.000000,109914.000000,0.029095
212,172,300,0.003321,0.001139,3871530.000000,108833.000000,0.028111
213,173,300,0.003328,0.000878,3680722.000000,88559.000000,0.024060
214,174,300,0.003323,0.000897,3772681.000000,89118.000000,0.023622
215,174,300,0.003330,0.001033,3915065.000000,105934.000000,0.027058
216,175,300,0.003317,0.000794,3921012.000000,92874.000000,0.023686
217,176,300,0.003320,0.000948,3888959.000000,92802.000000,0.023863
218,177,300,0.003325,0.000873,3962897.000000,92390.000000,0.023314
219,178,300,0.003322,0.000959,3948103.000000,92757.000000,0.023494
