frame,nb of entities,FPS,frame length,physics length,cache-references,cache-misses,cache-miss-ratio
0,3,0.002993,0.000029,0,97428.000000,41503.000000,0.425986
1,4,0.004153,0.000033,0,99963.000000,40826.000000,0.408411
2,5,0.004157,0.000034,0,98146.000000,39838.000000,0.405905
3,6,0.004157,0.000035,0,104230.000000,44573.000000,0.427641
4,7,0.004157,0.000032,0,88370.000000,36455.000000,0.412527
5,8,0.004159,0.000032,0,95460.000000,38506.000000,0.403373
6,9,0.004158,0.000034,0,95094.000000,38678.000000,0.406734
7,10,0.004159,0.000034,0,95261.000000,38679.000000,0.406032
8,11,0.004158,0.000036,0,91469.000000,38341.000000,0.419169
9,11,0.004159,0.000029,0,96881.000000,40465.000000,0.417677
10,12,0.004159,0.000035,0,93820.000000,38757.000000,0.413100
11,13,0.004159,0.000036,0,98126.000000,40689.000000,0.414661
12,14,0.004158,0.000037,0,88970.000000,37647.000000,0.423143
13,15,0.004161,0.000037,0,96906.000000,38562.000000,0.397932
14,16,0.004155,0.000044,0,99113.000000,42147.000000,0.425242
15,17,0.004159,0.000038,0,101501.000000,42359.000000,0.417326
16,17,0.004158,0.000034,0,84244.000000,34598.000000,0.410688
17,18,0.004163,0.000040,0,97794.000000,41724.000000,0.426652
18,19,0.004153,0.000044,0,100522.000000,41749.000000,0.415322
19,20,0.004160,0.000043,0,98655.000000,41612.000000,0.421793
20,21,0.004158,0.000044,0,94478.000000,40805.000000,0.431899
21,22,0.004157,0.000046,0,105956.000000,45165.000000,0.426262
22,23,0.004159,0.000047,0,100193.000000,42849.000000,0.427665
23,23,0.004159,0.000042,0,90149.000000,37656.000000,0.417708
24,24,0.004160,0.000047,0,83123.000000,33662.000000,0.404966
25,25,0.004158,0.000048,0,99692.000000,42834.000000,0.429663
26,26,0.004156,0.000050,0,101842.000000,44419.000000,0.436156
27,27,0.004157,0.000050,0,102515.000000,44279.000000,0.431927
28,28,0.004153,0.000053,0,88761.000000,36871.000000,0.415396
29,28,0.004161,0.000046,0,90686.000000,37220.000000,0.410427
30,29,0.004155,0.000052,0,94342.000000,38408.000000,0.407115
31,30,0.004159,0.000054,0,94697.000000,38775.000000,0.409464
32,31,0.004159,0.000054,0,86687.000000,36974.000000,0.426523
33,31,0.004158,0.000048,0,102847.000000,45947.000000,0.446751
34,32,0.004158,0.000055,0,94361.000000,40205.000000,0.426076
35,33,0.004158,0.000054,0,94931.000000,39489.000000,0.415976
36,34,0.004159,0.000089,0,103168.000000,42563.000000,0.412560
37,34,0.004158,0.000063,0,102471.000000,41926.000000,0.409150
38,35,0.004157,0.000063,0,102841.000000,43399.000000,0.422001
39,35,0.004158,0.000055,0,100605.000000,42011.000000,0.417584
40,36,0.004158,0.000062,0,90546.000000,37412.000000,0.413182
41,37,0.004158,0.000062,0,97886.000000,40285.000000,0.411550
42,38,0.004161,0.000071,0,102677.000000,41819.000000,0.407287
43,39,0.004154,0.000071,0,103725.000000,42184.000000,0.406691
44,40,0.004158,0.000073,0,96260.000000,40616.000000,0.421941
45,41,0.004158,0.000074,0,111235.000000,46628.000000,0.419185
46,42,0.004158,0.000070,0,99380.000000,41329.000000,0.415868
47,42,0.004157,0.000063,0,95203.000000,38722.000000,0.406731
48,43,0.004158,0.000070,0,90302.000000,37304.000000,0.413103
49,44,0.004159,0.000070,0,102574.000000,42444.000000,0.413789
50,45,0.004158,0.000087,0,111113.000000,46124.000000,0.415109
