frame,nb of entities,FPS,frame length,physics length,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-load-miss-ratio
0,3,302,0.001507,0.000025,647834.000000,36078.000000,0.055690
1,4,302,0.003322,0.000025,759382.000000,37767.000000,0.049734
2,5,302,0.003324,0.000031,741753.000000,38139.000000,0.051417
3,6,302,0.003321,0.000034,775005.000000,37415.000000,0.048277
4,7,302,0.003327,0.000028,763315.000000,37681.000000,0.049365
5,8,302,0.003318,0.000035,715846.000000,34240.000000,0.047832
6,9,302,0.003329,0.000034,740959.000000,37618.000000,0.050769
7,10,302,0.003319,0.000050,746977.000000,42081.000000,0.056335
8,11,302,0.003319,0.000043,733782.000000,41639.000000,0.056746
9,12,302,0.003319,0.000052,778725.000000,42299.000000,0.054318
10,13,302,0.003326,0.000042,739208.000000,34613.000000,0.046824
11,14,302,0.003315,0.000047,819761.000000,42627.000000,0.051999
12,15,302,0.003325,0.000048,801948.000000,41547.000000,0.051808
13,16,302,0.003320,0.000058,821742.000000,45929.000000,0.055892
14,17,303,0.003322,0.000062,818536.000000,45440.000000,0.055514
15,18,303,0.003319,0.000061,778250.000000,40526.000000,0.052073
16,19,303,0.003327,0.000065,809674.000000,43943.000000,0.054272
17,20,303,0.003316,0.000062,818834.000000,44569.000000,0.054430
18,21,303,0.003321,0.000070,823128.000000,43355.000000,0.052671
19,22,303,0.003320,0.000070,827660.000000,49364.000000,0.059643
20,23,303,0.003323,0.000074,800095.000000,39507.000000,0.049378
21,24,303,0.003315,0.000077,857393.000000,45063.000000,0.052558
22,25,303,0.003328,0.000045,829335.000000,38691.000000,0.046653
23,26,303,0.003322,0.000056,815857.000000,39487.000000,0.048399
24,27,303,0.003320,0.000082,845887.000000,45774.000000,0.054114
25,28,303,0.003322,0.000071,813553.000000,40303.000000,0.049539
26,29,303,0.003323,0.000087,866981.000000,45471.000000,0.052448
27,30,303,0.003318,0.000090,862842.000000,44890.000000,0.052026
28,31,303,0.003322,0.000092,866021.000000,45965.000000,0.053076
29,32,303,0.003315,0.000067,878218.000000,40397.000000,0.045999
30,33,303,0.003324,0.000067,821474.000000,35059.000000,0.042678
31,34,303,0.003323,0.000067,858676.000000,39006.000000,0.045426
32,35,303,0.003322,0.000067,862097.000000,39353.000000,0.045648
33,35,303,0.003327,0.000063,855667.000000,39058.000000,0.045646
34,36,303,0.003316,0.000069,862819.000000,39354.000000,0.045611
