frame,nb of entities,FPS,frame length,physics length,cache-references,cache-misses,cache-miss-ratio
0,3,0.002995,0.000022,0,95927.000000,42113.000000,0.439011
1,4,0.004155,0.000028,0,92548.000000,39559.000000,0.427443
2,5,0.004159,0.000037,0,97982.000000,43109.000000,0.439969
3,6,0.004154,0.000029,0,90708.000000,39015.000000,0.430116
4,7,0.004158,0.000027,0,82791.000000,35917.000000,0.433827
5,8,0.004161,0.000028,0,90323.000000,40278.000000,0.445933
6,9,0.004156,0.000030,0,92092.000000,38958.000000,0.423033
7,10,0.004159,0.000101,0,114815.000000,46525.000000,0.405217
8,11,0.004158,0.000088,0,110059.000000,44527.000000,0.404574
9,12,0.004159,0.000076,0,108258.000000,42923.000000,0.396488
10,13,0.004159,0.000074,0,108833.000000,42740.000000,0.392712
11,14,0.004158,0.000076,0,109631.000000,43039.000000,0.392581
12,15,0.004158,0.000076,0,101367.000000,41205.000000,0.406493
13,16,0.004159,0.000077,0,113155.000000,45505.000000,0.402147
14,17,0.004158,0.000090,0,114334.000000,45925.000000,0.401674
15,18,0.004158,0.000082,0,107772.000000,42238.000000,0.391920
16,19,0.004159,0.000082,0,101886.000000,40871.000000,0.401144
17,20,0.004168,0.000119,0,121970.000000,45358.000000,0.371878
18,21,0.004150,0.000127,0,126912.000000,48093.000000,0.378948
19,22,0.004157,0.000130,0,131100.000000,50651.000000,0.386354
20,23,0.004151,0.000157,0,127348.000000,49030.000000,0.385008
21,24,0.004155,0.000153,0,130375.000000,48721.000000,0.373699
22,25,0.004158,0.000145,0,120365.000000,44831.000000,0.372459
23,26,0.004156,0.000109,0,110737.000000,44962.000000,0.406025
24,27,0.004159,0.000111,0,103025.000000,42478.000000,0.412308
25,27,0.004156,0.000148,0,99718.000000,44064.000000,0.441886
26,28,0.004157,0.000140,0,105429.000000,44936.000000,0.426220
27,29,0.004155,0.000149,0,116418.000000,40399.000000,0.347017
28,30,0.004156,0.000147,0,116449.000000,45407.000000,0.389930
29,31,0.004158,0.000125,0,126275.000000,48236.000000,0.381992
30,32,0.004158,0.000150,0,122820.000000,47145.000000,0.383854
31,33,0.004154,0.000156,0,124462.000000,47841.000000,0.384382
32,34,0.004157,0.000135,0,122204.000000,47902.000000,0.391984
33,35,0.004158,0.000134,0,121377.000000,46024.000000,0.379182
34,35,0.004157,0.000129,0,119248.000000,44247.000000,0.371050
35,36,0.004160,0.000139,0,120271.000000,46189.000000,0.384041
36,37,0.004161,0.000134,0,115030.000000,42698.000000,0.371190
37,38,0.004154,0.000158,0,127434.000000,48819.000000,0.383092
38,39,0.004160,0.000143,0,125206.000000,47265.000000,0.377498
39,40,0.004156,0.000138,0,123706.000000,46867.000000,0.378858
40,41,0.004158,0.000137,0,114918.000000,43346.000000,0.377191
41,42,0.004162,0.000140,0,123887.000000,48352.000000,0.390291
42,43,0.004154,0.000161,0,127874.000000,47432.000000,0.370928
43,44,0.004158,0.000150,0,121978.000000,44369.000000,0.363746
44,45,0.004159,0.000155,0,122906.000000,47026.000000,0.382618
45,46,0.004159,0.000149,0,125759.000000,47743.000000,0.379639
46,47,0.004161,0.000148,0,123652.000000,45935.000000,0.371486
47,48,0.004155,0.000191,0,138166.000000,48947.000000,0.354262
48,49,0.004159,0.000180,0,124345.000000,44395.000000,0.357031
49,50,0.004158,0.000180,0,135290.000000,49281.000000,0.364262
50,51,0.004160,0.000186,0,136377.000000,48611.000000,0.356446
51,52,0.004156,0.000180,0,131289.000000,45845.000000,0.349191
52,53,0.004159,0.000179,0,124102.000000,43535.000000,0.350800
53,53,0.004159,0.000179,0,131886.000000,46837.000000,0.355132
54,54,0.004160,0.000186,0,130146.000000,45089.000000,0.346449
55,55,0.004159,0.000185,0,135987.000000,49285.000000,0.362424
56,55,0.004159,0.000188,0,129249.000000,46043.000000,0.356235
57,56,0.004159,0.000185,0,130451.000000,45178.000000,0.346322
58,57,0.004160,0.000185,0,131385.000000,46044.000000,0.350451
59,58,0.004159,0.000224,0,142814.000000,47670.000000,0.333791
60,59,0.004158,0.000222,232,136490.000000,45465.000000,0.333101
61,59,0.004157,0.000265,231,145373.000000,49830.000000,0.342773
62,60,0.004156,0.000225,231,136986.000000,48872.000000,0.356766
63,61,0.004157,0.000192,231,136522.000000,47775.000000,0.349944
64,61,0.004158,0.000194,231,124652.000000,42952.000000,0.344575
65,61,0.004161,0.000192,231,129749.000000,44698.000000,0.344496
66,61,0.004151,0.000217,231,140717.000000,48665.000000,0.345836
67,62,0.004158,0.000211,231,137298.000000,48509.000000,0.353312
68,63,0.004159,0.000209,231,132935.000000,47415.000000,0.356678
69,63,0.004158,0.000197,231,137371.000000,47915.000000,0.348800
70,64,0.004160,0.000202,231,134587.000000,46968.000000,0.348979
71,65,0.004155,0.000209,231,134094.000000,45658.000000,0.340492
72,65,0.004159,0.000201,231,125568.000000,42993.000000,0.342388
73,66,0.004158,0.000216,231,137986.000000,49188.000000,0.356471
74,67,0.004160,0.000213,231,139591.000000,49783.000000,0.356635
75,68,0.004156,0.000274,231,155355.000000,48761.000000,0.313868
76,69,0.004160,0.000275,231,145080.000000,50341.000000,0.346988
77,70,0.004156,0.000247,231,148747.000000,49496.000000,0.332753
78,70,0.004158,0.000182,231,127028.000000,46639.000000,0.367155
79,71,0.004158,0.000187,231,130962.000000,48347.000000,0.369168
80,72,0.004158,0.000194,231,126787.000000,47105.000000,0.371529
81,73,0.004158,0.000218,231,134162.000000,45612.000000,0.339977
82,74,0.004160,0.000218,231,137051.000000,47007.000000,0.342989
83,75,0.004158,0.000195,231,127178.000000,47558.000000,0.373948
84,76,0.004160,0.000225,231,138032.000000,50817.000000,0.368154
85,77,0.004155,0.000255,231,153656.000000,57237.000000,0.372501
86,78,0.004154,0.000258,231,150207.000000,54277.000000,0.361348
87,79,0.004153,0.000247,231,147142.000000,51694.000000,0.351320
88,80,0.004157,0.000241,231,133988.000000,46703.000000,0.348561
89,81,0.004160,0.000245,231,140714.000000,48888.000000,0.347428
90,82,0.004155,0.000280,231,148834.000000,50062.000000,0.336361
91,82,0.004160,0.000283,231,154480.000000,52429.000000,0.339390
92,82,0.004157,0.000248,231,139969.000000,49176.000000,0.351335
93,83,0.004155,0.000229,231,135741.000000,49513.000000,0.364761
94,83,0.004157,0.000218,231,132637.000000,48678.000000,0.367002
95,84,0.004155,0.000219,231,132575.000000,48248.000000,0.363930
96,85,0.004155,0.000224,231,125518.000000,46437.000000,0.369963
97,86,0.004158,0.000236,231,134847.000000,49819.000000,0.369448
98,87,0.004157,0.000235,231,137544.000000,52064.000000,0.378526
99,88,0.004158,0.000231,231,131136.000000,48122.000000,0.366963
100,89,0.004157,0.000230,231,127127.000000,46227.000000,0.363628
101,90,0.004160,0.000263,231,140349.000000,49024.000000,0.349301
102,91,0.004155,0.000265,231,145093.000000,51609.000000,0.355696
103,91,0.004156,0.000273,231,145474.000000,51634.000000,0.354936
104,92,0.004159,0.000253,231,132517.000000,49232.000000,0.371515
105,93,0.004155,0.000249,231,135021.000000,48458.000000,0.358892
106,94,0.004157,0.000246,231,132460.000000,48318.000000,0.364774
107,95,0.004158,0.000253,231,134120.000000,48225.000000,0.359566
108,95,0.004157,0.000249,231,128347.000000,47477.000000,0.369911
109,96,0.004157,0.000266,231,136953.000000,50103.000000,0.365841
110,96,0.004159,0.000259,231,137320.000000,49375.000000,0.359562
111,97,0.004154,0.000283,231,142565.000000,49457.000000,0.346908
112,98,0.004156,0.000330,231,141390.000000,48339.000000,0.341884
113,99,0.004158,0.000293,231,144837.000000,48723.000000,0.336399
114,100,0.004156,0.000473,231,179666.000000,61965.000000,0.344890
115,101,0.004157,0.000335,231,151174.000000,50643.000000,0.334998
116,102,0.004157,0.000364,231,153984.000000,52695.000000,0.342211
117,102,0.004159,0.000347,231,156212.000000,50112.000000,0.320795
118,103,0.004157,0.000378,231,160137.000000,49387.000000,0.308405
119,104,0.004155,0.000361,231,158145.000000,50180.000000,0.317304
120,104,0.004158,0.000351,231,151734.000000,48985.000000,0.322835
121,104,0.004158,0.000337,231,147119.000000,48216.000000,0.327735
122,104,0.004163,0.000387,231,162244.000000,56881.000000,0.350589
123,105,0.004151,0.000352,231,152136.000000,49291.000000,0.323993
124,106,0.004157,0.000384,231,153352.000000,45917.000000,0.299422
125,107,0.004161,0.000443,231,180332.000000,52732.000000,0.292416
126,108,0.004155,0.000439,231,179765.000000,53024.000000,0.294963
127,109,0.004158,0.000528,231,202096.000000,55886.000000,0.276532
128,110,0.004158,0.000486,231,183577.000000,51701.000000,0.281631
129,111,0.004157,0.000458,231,179565.000000,52806.000000,0.294077
130,112,0.004160,0.000464,231,177983.000000,50811.000000,0.285482
131,113,0.004155,0.000564,231,191775.000000,54851.000000,0.286017
132,113,0.004158,0.000497,231,182352.000000,52862.000000,0.289890
133,114,0.004159,0.000511,231,190050.000000,53752.000000,0.282831
134,115,0.004159,0.000489,231,184576.000000,55552.000000,0.300971
135,116,0.004155,0.000491,231,180515.000000,51820.000000,0.287068
136,117,0.004160,0.000487,231,174867.000000,51205.000000,0.292823
