frame,nb of entities,FPS,frame length,physics length,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-load-miss-ratio
0,3,302,0.001683,0.000023,443239.000000,34037.000000,0.076792
1,4,302,0.003317,0.000025,594360.000000,35540.000000,0.059795
2,5,302,0.003320,0.000016,561536.000000,30815.000000,0.054876
3,6,302,0.003329,0.000021,553174.000000,30962.000000,0.055972
4,7,302,0.003317,0.000030,577215.000000,33593.000000,0.058198
5,8,302,0.003321,0.000019,525015.000000,27586.000000,0.052543
6,9,302,0.003327,0.000021,576533.000000,31347.000000,0.054372
7,10,302,0.003324,0.000036,563131.000000,35505.000000,0.063049
8,11,302,0.003315,0.000024,580469.000000,30929.000000,0.053283
9,12,302,0.003324,0.000023,579373.000000,31231.000000,0.053905
10,13,302,0.003331,0.000023,529080.000000,27314.000000,0.051625
11,14,302,0.003319,0.000027,580208.000000,31267.000000,0.053889
12,15,302,0.003324,0.000027,599058.000000,31191.000000,0.052067
13,16,302,0.003327,0.000027,584615.000000,31119.000000,0.053230
14,17,302,0.003319,0.000029,591344.000000,30933.000000,0.052310
15,17,302,0.003324,0.000028,544057.000000,27005.000000,0.049636
16,18,302,0.003331,0.000031,582390.000000,30736.000000,0.052776
17,18,302,0.003316,0.000033,564277.000000,30162.000000,0.053452
18,19,302,0.003325,0.000033,603086.000000,30929.000000,0.051285
19,19,302,0.003327,0.000034,593319.000000,30273.000000,0.051023
20,20,302,0.003319,0.000036,558075.000000,27431.000000,0.049153
21,21,302,0.003322,0.000038,647784.000000,31149.000000,0.048085
22,22,302,0.003334,0.000031,613782.000000,31622.000000,0.051520
23,22,302,0.003314,0.000062,599431.000000,33106.000000,0.055229
24,23,302,0.003320,0.000042,646713.000000,31621.000000,0.048895
25,24,302,0.003323,0.000044,609315.000000,28054.000000,0.046042
26,25,302,0.003325,0.000035,631921.000000,31769.000000,0.050274
27,26,302,0.003321,0.000046,658091.000000,31395.000000,0.047706
28,27,302,0.003327,0.000041,642248.000000,31789.000000,0.049496
29,27,302,0.003320,0.000050,657452.000000,31522.000000,0.047946
30,28,302,0.003332,0.000039,616423.000000,29057.000000,0.047138
31,29,302,0.003317,0.000052,649823.000000,31515.000000,0.048498
32,30,303,0.003319,0.000046,655759.000000,31365.000000,0.047830
33,31,303,0.003322,0.000047,682661.000000,31327.000000,0.045890
34,32,303,0.003328,0.000047,655012.000000,31426.000000,0.047978
35,33,303,0.003319,0.000050,621292.000000,28482.000000,0.045843
36,34,303,0.003322,0.000055,668148.000000,32097.000000,0.048039
37,35,303,0.003327,0.000057,679945.000000,31889.000000,0.046899
38,36,303,0.003319,0.000057,683862.000000,31885.000000,0.046625
39,37,303,0.003325,0.000054,697856.000000,31908.000000,0.045723
40,37,303,0.003332,0.000054,628294.000000,28163.000000,0.044825
41,38,303,0.003316,0.000049,676474.000000,32839.000000,0.048544
42,38,303,0.003320,0.000060,678751.000000,31007.000000,0.045682
43,39,303,0.003329,0.000055,675331.000000,31401.000000,0.046497
44,40,303,0.003319,0.000060,686641.000000,31252.000000,0.045514
45,41,303,0.003326,0.000058,666307.000000,28992.000000,0.043511
46,42,303,0.003327,0.000064,691699.000000,32621.000000,0.047161
47,43,303,0.003320,0.000068,717378.000000,32366.000000,0.045117
48,44,303,0.003322,0.000067,722276.000000,32361.000000,0.044804
49,45,303,0.003332,0.000064,709000.000000,31964.000000,0.045083
50,46,303,0.003316,0.000070,702353.000000,28712.000000,0.040880
51,47,303,0.003327,0.000067,755850.000000,32241.000000,0.042655
52,48,303,0.003325,0.000063,791249.000000,33579.000000,0.042438
53,48,303,0.003323,0.000063,758929.000000,32113.000000,0.042314
54,49,303,0.003319,0.000079,816061.000000,32884.000000,0.040296
55,50,303,0.003329,0.000074,751506.000000,28845.000000,0.038383
56,51,303,0.003324,0.000078,781288.000000,33537.000000,0.042925
57,52,303,0.003320,0.000104,821327.000000,34387.000000,0.041868
58,53,303,0.003329,0.000078,812999.000000,33385.000000,0.041064
59,54,303,0.003318,0.000089,793491.000000,32532.000000,0.040999
60,54,300,0.003328,0.000080,771105.000000,28633.000000,0.037132
61,55,300,0.003322,0.000082,826043.000000,33357.000000,0.040382
62,56,300,0.003320,0.000072,837256.000000,33361.000000,0.039846
63,57,300,0.003328,0.000075,856110.000000,33402.000000,0.039016
64,58,300,0.003322,0.000086,853815.000000,36204.000000,0.042403
65,59,300,0.003320,0.000086,824998.000000,31709.000000,0.038435
66,60,300,0.003320,0.000079,888695.000000,34639.000000,0.038977
67,61,300,0.003326,0.000078,857683.000000,33679.000000,0.039267
68,62,300,0.003323,0.000077,852495.000000,33758.000000,0.039599
69,63,300,0.003320,0.000110,854410.000000,35131.000000,0.041117
70,63,300,0.003328,0.000097,777308.000000,28940.000000,0.037231
71,64,300,0.003319,0.000098,845901.000000,32688.000000,0.038643
72,65,300,0.003324,0.000078,863392.000000,33534.000000,0.038840
73,65,300,0.003323,0.000100,849696.000000,32344.000000,0.038065
74,65,300,0.003325,0.000080,815200.000000,32389.000000,0.039731
75,66,300,0.003323,0.000085,851938.000000,30679.000000,0.036011
76,67,300,0.003320,0.000084,890247.000000,33810.000000,0.037978
77,68,300,0.003325,0.000086,881609.000000,34082.000000,0.038659
78,69,300,0.003321,0.000086,897933.000000,34404.000000,0.038315
79,70,300,0.003329,0.000129,875290.000000,35986.000000,0.041113
80,71,300,0.003315,0.000107,863864.000000,34633.000000,0.040091
81,71,300,0.003320,0.000166,962897.000000,35701.000000,0.037077
82,71,300,0.003331,0.000093,919285.000000,35047.000000,0.038124
83,72,300,0.003316,0.000161,932320.000000,53297.000000,0.057166
84,73,300,0.003322,0.000168,986260.000000,53031.000000,0.053770
85,73,300,0.003322,0.000166,924207.000000,47624.000000,0.051530
86,74,300,0.003321,0.000096,915965.000000,34407.000000,0.037564
87,75,300,0.003319,0.000136,960273.000000,35768.000000,0.037248
88,76,300,0.003326,0.000099,967676.000000,35045.000000,0.036216
89,77,300,0.003324,0.000102,934491.000000,34553.000000,0.036975
90,77,300,0.003325,0.000133,884535.000000,31055.000000,0.035109
91,78,300,0.003320,0.000129,978961.000000,33975.000000,0.034705
92,79,300,0.003323,0.000176,976650.000000,44668.000000,0.045736
93,80,300,0.003321,0.000142,991345.000000,34522.000000,0.034823
94,81,300,0.003325,0.000130,969985.000000,33714.000000,0.034757
95,81,300,0.003323,0.000104,925197.000000,30049.000000,0.032478
