frame,nb of entities,FPS,frame length,physics length,cache-references,cache-misses,cache-miss-ratio
0,3,0.002796,0.000021,0,89697.000000,40546.000000,0.452033
1,4,0.004154,0.000019,0,94637.000000,42347.000000,0.447468
2,5,0.004156,0.000021,0,94163.000000,41969.000000,0.445706
3,6,0.004158,0.000020,0,90469.000000,39016.000000,0.431264
4,7,0.004157,0.000022,0,91758.000000,39525.000000,0.430753
5,7,0.004149,0.000020,0,87715.000000,36974.000000,0.421524
6,8,0.004158,0.000020,0,88594.000000,37437.000000,0.422568
7,9,0.004158,0.000020,0,90012.000000,38189.000000,0.424266
8,10,0.004158,0.000022,0,83272.000000,36037.000000,0.432763
9,11,0.004158,0.000022,0,89416.000000,37858.000000,0.423392
10,12,0.004163,0.000023,0,93382.000000,39752.000000,0.425692
11,13,0.004157,0.000024,0,92677.000000,39297.000000,0.424021
12,14,0.004159,0.000025,0,84449.000000,37661.000000,0.445961
13,15,0.004156,0.000026,0,95094.000000,40036.000000,0.421015
14,16,0.004157,0.000027,0,90262.000000,38059.000000,0.421650
15,17,0.004158,0.000028,0,91788.000000,38931.000000,0.424140
16,18,0.004157,0.000029,0,88278.000000,38522.000000,0.436371
17,19,0.004158,0.000030,0,92184.000000,39063.000000,0.423750
18,20,0.004158,0.000032,0,89905.000000,37614.000000,0.418375
19,21,0.004156,0.000037,0,93267.000000,39942.000000,0.428254
20,22,0.004154,0.000039,0,84804.000000,36811.000000,0.434072
21,23,0.004158,0.000035,0,95696.000000,40560.000000,0.423842
22,24,0.004156,0.000037,0,99891.000000,43235.000000,0.432822
23,25,0.004157,0.000036,0,90792.000000,39058.000000,0.430192
24,26,0.004157,0.000040,0,85070.000000,36274.000000,0.426402
25,27,0.004160,0.000049,0,94013.000000,38799.000000,0.412698
26,28,0.004153,0.000042,0,91569.000000,40013.000000,0.436971
27,29,0.004159,0.000042,0,95010.000000,41964.000000,0.441680
28,30,0.004155,0.000052,0,90500.000000,40490.000000,0.447403
29,31,0.004158,0.000045,0,97363.000000,43216.000000,0.443865
30,32,0.004157,0.000047,0,92943.000000,40855.000000,0.439570
31,32,0.004158,0.000046,0,89582.000000,39116.000000,0.436650
32,33,0.004158,0.000046,0,87467.000000,38940.000000,0.445196
33,34,0.004157,0.000047,0,92661.000000,39772.000000,0.429220
34,35,0.004160,0.000049,0,97204.000000,42763.000000,0.439930
35,36,0.004155,0.000057,0,93984.000000,41021.000000,0.436468
36,37,0.004158,0.000052,0,86383.000000,37690.000000,0.436313
37,38,0.004156,0.000053,0,97948.000000,42606.000000,0.434986
38,39,0.004158,0.000055,0,94243.000000,40595.000000,0.430748
39,40,0.004157,0.000055,0,94064.000000,40375.000000,0.429229
40,41,0.004158,0.000058,0,93540.000000,42122.000000,0.450310
41,41,0.004157,0.000057,0,91106.000000,39503.000000,0.433594
