frame,nb of entities,FPS,frame length,physics length,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-load-miss-ratio
0,3,300,0.003210,0.002942,8651061.000000,241955.000000,0.027968
1,4,300,0.003381,0.002936,8648401.000000,244524.000000,0.028274
2,5,299,0.003675,0.003352,8732718.000000,282896.000000,0.032395
3,6,299,0.003380,0.002947,8614290.000000,240724.000000,0.027945
4,7,299,0.003389,0.002964,8663596.000000,245853.000000,0.028378
5,8,299,0.003378,0.003026,8674445.000000,251576.000000,0.029002
6,9,299,0.003377,0.002928,8645161.000000,244386.000000,0.028269
7,10,299,0.003381,0.002988,8693495.000000,249733.000000,0.028726
8,11,299,0.003377,0.002934,8583860.000000,239083.000000,0.027853
9,12,299,0.003351,0.002952,8642759.000000,246012.000000,0.028465
10,13,299,0.003378,0.002948,8631171.000000,246723.000000,0.028585
11,14,299,0.003382,0.002998,8675821.000000,248776.000000,0.028675
12,15,298,0.003377,0.002929,8647859.000000,244261.000000,0.028245
13,16,298,0.003379,0.002978,8647094.000000,245529.000000,0.028394
14,17,298,0.003378,0.002943,8657332.000000,245029.000000,0.028303
15,18,298,0.003380,0.002949,8651001.000000,245951.000000,0.028430
16,19,298,0.003380,0.002955,8632915.000000,245584.000000,0.028447
17,20,298,0.003378,0.002954,8647738.000000,244389.000000,0.028260
18,21,298,0.003383,0.003006,8612285.000000,246598.000000,0.028633
19,22,298,0.003382,0.003006,8686153.000000,247805.000000,0.028529
20,23,298,0.003380,0.002927,8655021.000000,244284.000000,0.028225
21,24,298,0.003379,0.002929,8647059.000000,243891.000000,0.028205
22,25,298,0.003338,0.002954,8656290.000000,246114.000000,0.028432
23,26,298,0.003378,0.002927,8596502.000000,240558.000000,0.027983
24,27,298,0.003379,0.002941,8664699.000000,245554.000000,0.028340
25,28,298,0.003381,0.002962,8654547.000000,246632.000000,0.028497
26,29,298,0.003380,0.002956,8660275.000000,245745.000000,0.028376
27,30,297,0.003384,0.002929,8636797.000000,243769.000000,0.028224
28,31,297,0.003377,0.002959,8618066.000000,243953.000000,0.028307
29,31,297,0.003381,0.002975,8642462.000000,248830.000000,0.028792
30,32,297,0.003385,0.002964,8673425.000000,247882.000000,0.028579
31,33,297,0.003376,0.002931,8652154.000000,242958.000000,0.028081
32,34,297,0.003381,0.002960,8666891.000000,246182.000000,0.028405
33,35,297,0.003381,0.002945,8619011.000000,240153.000000,0.027863
34,36,297,0.003378,0.002950,8657994.000000,243895.000000,0.028170
35,37,297,0.003378,0.002934,8658599.000000,243849.000000,0.028163
36,38,297,0.003382,0.002986,8667471.000000,246405.000000,0.028429
37,39,297,0.003379,0.002944,8672550.000000,245948.000000,0.028359
38,40,297,0.003380,0.002969,8681412.000000,243083.000000,0.028000
39,41,297,0.003380,0.002955,8657220.000000,245862.000000,0.028400
40,42,297,0.003385,0.002954,8658176.000000,245156.000000,0.028315
41,43,297,0.003378,0.002934,8652215.000000,244181.000000,0.028222
42,44,296,0.003382,0.002979,8676835.000000,245194.000000,0.028258
43,44,296,0.003377,0.002930,8602319.000000,240880.000000,0.028002
44,45,296,0.003381,0.002958,8670672.000000,245947.000000,0.028365
45,46,296,0.003382,0.002987,8694487.000000,251014.000000,0.028870
46,46,296,0.003379,0.002958,8657153.000000,246715.000000,0.028498
47,47,296,0.003378,0.002930,8647017.000000,244061.000000,0.028225
48,47,296,0.003359,0.003084,8649637.000000,252779.000000,0.029224
49,48,296,0.003381,0.002935,8674394.000000,244966.000000,0.028240
50,49,296,0.003379,0.002927,8668236.000000,244334.000000,0.028187
51,50,296,0.003379,0.002924,8649727.000000,244870.000000,0.028310
52,50,296,0.003377,0.002930,8609391.000000,241348.000000,0.028033
53,51,296,0.003370,0.002931,8676292.000000,244923.000000,0.028229
54,51,296,0.003379,0.002931,8653192.000000,243894.000000,0.028185
55,52,296,0.003380,0.002939,8678152.000000,245060.000000,0.028239
56,53,296,0.003379,0.002933,8671637.000000,244474.000000,0.028192
57,54,295,0.003377,0.002922,8602716.000000,241505.000000,0.028073
58,55,295,0.003360,0.002989,8724405.000000,250511.000000,0.028714
59,56,295,0.003584,0.003265,8697476.000000,258347.000000,0.029704
60,57,294,0.003897,0.003490,8900682.000000,287513.000000,0.032302
61,57,292,0.004626,0.004101,9058988.000000,354967.000000,0.039184
62,57,293,0.003392,0.002957,8655604.000000,244991.000000,0.028304
63,58,292,0.003592,0.003227,8722324.000000,256540.000000,0.029412
64,59,292,0.003383,0.002979,8733455.000000,249973.000000,0.028622
65,59,292,0.003384,0.003036,8691056.000000,249704.000000,0.028731
66,59,292,0.003382,0.003011,8683641.000000,249560.000000,0.028739
67,60,292,0.003394,0.003064,8670739.000000,249590.000000,0.028785
68,61,292,0.003864,0.003546,8850867.000000,294743.000000,0.033301
69,62,291,0.003735,0.003413,8842372.000000,292593.000000,0.033090
70,63,291,0.003390,0.002947,8729705.000000,246870.000000,0.028279
71,64,291,0.003388,0.002952,8663631.000000,242841.000000,0.028030
72,65,290,0.004326,0.003279,8776037.000000,254430.000000,0.028991
