frame,nb of entities,FPS,frame length,physics length,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-load-miss-ratio
0,3,301,0.002049,0.000017,579314.000000,32525.000000,0.056144
1,4,301,0.003318,0.000020,652540.000000,34074.000000,0.052217
2,5,301,0.003322,0.000020,639322.000000,33919.000000,0.053055
3,6,301,0.003324,0.000022,657718.000000,33924.000000,0.051578
4,7,302,0.003320,0.000020,635875.000000,30931.000000,0.048643
5,8,302,0.003320,0.000019,674311.000000,34986.000000,0.051884
6,9,302,0.003329,0.000019,651264.000000,34308.000000,0.052679
7,10,302,0.003318,0.000021,642859.000000,34195.000000,0.053192
8,11,302,0.003325,0.000020,644838.000000,34486.000000,0.053480
9,12,302,0.003323,0.000021,608099.000000,30228.000000,0.049709
10,13,302,0.003321,0.000021,638333.000000,33456.000000,0.052412
11,14,302,0.003323,0.000021,651784.000000,34426.000000,0.052818
12,15,302,0.003325,0.000021,660465.000000,33700.000000,0.051025
13,16,302,0.003322,0.000020,650316.000000,33884.000000,0.052104
14,17,302,0.003323,0.000022,626530.000000,30969.000000,0.049429
15,18,302,0.003329,0.000020,657633.000000,33576.000000,0.051056
16,19,302,0.003320,0.000021,647457.000000,33652.000000,0.051976
17,20,302,0.003324,0.000021,646215.000000,33943.000000,0.052526
18,21,302,0.003327,0.000021,655887.000000,33679.000000,0.051349
19,22,302,0.003322,0.000022,613752.000000,29856.000000,0.048645
20,23,302,0.003328,0.000022,641927.000000,34981.000000,0.054494
21,24,302,0.003321,0.000028,698386.000000,34847.000000,0.049896
22,25,302,0.003322,0.000025,679535.000000,34205.000000,0.050336
23,25,302,0.003322,0.000025,683325.000000,33979.000000,0.049726
24,26,302,0.003328,0.000023,649819.000000,31100.000000,0.047859
25,27,302,0.003318,0.000026,673113.000000,34765.000000,0.051648
26,28,302,0.003326,0.000025,635920.000000,34832.000000,0.054774
27,29,302,0.003326,0.000029,692521.000000,35197.000000,0.050824
28,30,302,0.003319,0.000029,685036.000000,35341.000000,0.051590
29,31,302,0.003322,0.000030,638180.000000,32129.000000,0.050345
30,32,302,0.003324,0.000030,670504.000000,34945.000000,0.052118
31,33,302,0.003318,0.000029,669774.000000,34618.000000,0.051686
32,34,302,0.003328,0.000027,664288.000000,35525.000000,0.053478
33,35,302,0.003324,0.000033,672027.000000,34836.000000,0.051837
34,35,302,0.003319,0.000030,615341.000000,30678.000000,0.049855
35,36,302,0.003321,0.000031,667836.000000,34782.000000,0.052082
36,36,302,0.003329,0.000028,650835.000000,34331.000000,0.052749
37,37,302,0.003317,0.000031,682526.000000,35458.000000,0.051951
38,37,302,0.003324,0.000027,641699.000000,34747.000000,0.054148
39,37,302,0.003325,0.000029,621414.000000,30623.000000,0.049280
40,38,302,0.003321,0.000028,659732.000000,34755.000000,0.052680
41,39,302,0.003322,0.000041,678822.000000,35697.000000,0.052587
42,40,302,0.003327,0.000029,675293.000000,34899.000000,0.051680
43,41,302,0.003322,0.000029,655277.000000,34799.000000,0.053106
44,42,302,0.003320,0.000032,643816.000000,31798.000000,0.049390
45,43,302,0.003329,0.000030,687796.000000,36051.000000,0.052415
46,44,302,0.003320,0.000030,681461.000000,35293.000000,0.051790
47,45,302,0.003324,0.000031,672316.000000,35800.000000,0.053249
48,45,302,0.003326,0.000030,659824.000000,34871.000000,0.052849
49,46,302,0.003321,0.000031,637455.000000,31544.000000,0.049484
50,47,302,0.003323,0.000032,706131.000000,35906.000000,0.050849
51,47,302,0.003328,0.000033,671957.000000,34702.000000,0.051643
52,48,302,0.003321,0.000032,693855.000000,35566.000000,0.051259
53,49,302,0.003324,0.000033,679860.000000,36305.000000,0.053401
54,49,302,0.003325,0.000032,636307.000000,31314.000000,0.049212
55,50,302,0.003321,0.000033,666971.000000,35279.000000,0.052894
56,51,302,0.003321,0.000035,689615.000000,35483.000000,0.051453
