frame,nb of entities,FPS,frame length,physics length,cache-references,cache-misses,cache-miss-ratio
0,3,300,0.003111,0.002841,401390.000000,58274.000000,0.145180
1,4,300,0.003389,0.002918,467047.000000,72265.000000,0.154727
2,5,300,0.003420,0.003113,479501.000000,63500.000000,0.132429
3,6,300,0.003387,0.002897,432428.000000,58908.000000,0.136226
4,7,299,0.003372,0.002806,418743.000000,59587.000000,0.142300
5,8,299,0.003370,0.002819,425154.000000,58836.000000,0.138388
6,9,299,0.003376,0.002820,429415.000000,59321.000000,0.138144
7,10,299,0.003375,0.002881,415281.000000,61238.000000,0.147462
8,11,299,0.003369,0.002814,417817.000000,56163.000000,0.134420
9,12,299,0.003383,0.002793,385970.000000,55653.000000,0.144190
10,13,299,0.003365,0.002824,406903.000000,57294.000000,0.140805
11,14,299,0.003380,0.002818,399989.000000,56900.000000,0.142254
12,15,299,0.003372,0.002840,421468.000000,58697.000000,0.139268
13,16,299,0.003370,0.002823,430720.000000,60928.000000,0.141456
14,17,299,0.003373,0.002834,424404.000000,57263.000000,0.134926
15,18,299,0.003419,0.002803,395564.000000,56751.000000,0.143469
16,19,299,0.003333,0.002985,366564.000000,64097.000000,0.174859
17,20,299,0.003399,0.002943,428191.000000,59666.000000,0.139344
18,21,299,0.003350,0.003043,416435.000000,60773.000000,0.145936
19,22,299,0.003381,0.002890,445393.000000,61487.000000,0.138051
20,23,298,0.003624,0.003319,482466.000000,58903.000000,0.122087
21,24,298,0.003486,0.003135,395177.000000,75109.000000,0.190064
22,25,298,0.003383,0.002900,442994.000000,57219.000000,0.129164
23,26,298,0.003381,0.002855,422011.000000,58367.000000,0.138307
24,27,298,0.003380,0.002905,449908.000000,60176.000000,0.133752
25,28,298,0.003377,0.002860,405412.000000,60272.000000,0.148669
26,29,298,0.003378,0.002821,429810.000000,58538.000000,0.136195
27,30,297,0.003378,0.002887,424423.000000,57391.000000,0.135221
28,31,297,0.003374,0.002824,428126.000000,55850.000000,0.130452
29,32,297,0.003373,0.002821,397958.000000,58649.000000,0.147375
30,33,297,0.003382,0.002926,445857.000000,54906.000000,0.123147
31,33,297,0.003378,0.002807,416938.000000,52715.000000,0.126434
32,34,297,0.003383,0.002905,446135.000000,59299.000000,0.132917
33,35,297,0.003370,0.002886,443041.000000,61642.000000,0.139134
34,36,297,0.003381,0.002959,435875.000000,63713.000000,0.146173
35,37,297,0.003374,0.002841,402481.000000,57593.000000,0.143095
36,37,297,0.003377,0.002840,429903.000000,58554.000000,0.136203
37,37,297,0.003374,0.002839,425768.000000,57082.000000,0.134068
38,38,297,0.003378,0.002907,450423.000000,62950.000000,0.139758
39,39,297,0.003375,0.002851,409074.000000,60700.000000,0.148384
40,40,297,0.003377,0.002876,408758.000000,61914.000000,0.151469
41,41,297,0.003373,0.002833,424334.000000,55804.000000,0.131510
42,42,297,0.003383,0.002991,440779.000000,63449.000000,0.143947
43,43,296,0.003374,0.002842,398248.000000,55891.000000,0.140342
44,44,296,0.003382,0.002938,456285.000000,63022.000000,0.138120
45,45,296,0.003380,0.003005,462091.000000,64048.000000,0.138605
46,45,296,0.003360,0.002903,435354.000000,61371.000000,0.140968
47,46,296,0.003376,0.002881,431178.000000,61232.000000,0.142011
48,47,296,0.003379,0.002904,443748.000000,58957.000000,0.132861
49,48,296,0.003373,0.002823,395343.000000,55423.000000,0.140190
50,48,296,0.003382,0.002941,455545.000000,62826.000000,0.137914
51,49,296,0.003372,0.002820,421529.000000,54645.000000,0.129635
52,49,296,0.003379,0.002905,437701.000000,59254.000000,0.135376
53,50,296,0.003380,0.002879,433636.000000,58754.000000,0.135492
54,51,296,0.003375,0.002849,433255.000000,58373.000000,0.134731
55,52,296,0.003377,0.002862,437087.000000,59478.000000,0.136078
56,53,296,0.003376,0.002848,429047.000000,55620.000000,0.129636
57,54,296,0.003376,0.002876,434342.000000,58662.000000,0.135059
58,54,296,0.003377,0.002855,396241.000000,54455.000000,0.137429
59,54,295,0.003372,0.002828,425455.000000,53250.000000,0.125160
60,55,295,0.003380,0.002809,392738.000000,55521.000000,0.141369
61,56,295,0.003370,0.002829,438633.000000,57933.000000,0.132076
62,57,295,0.003381,0.002875,431937.000000,58531.000000,0.135508
63,58,295,0.003372,0.002814,422872.000000,56276.000000,0.133080
64,58,295,0.003375,0.002855,427438.000000,56352.000000,0.131837
65,59,295,0.003375,0.002843,433692.000000,60978.000000,0.140602
66,60,295,0.003372,0.002812,424043.000000,55272.000000,0.130345
67,61,295,0.003378,0.002878,430477.000000,59426.000000,0.138047
68,62,295,0.003378,0.002847,428701.000000,57290.000000,0.133636
69,63,295,0.003379,0.002848,416518.000000,59793.000000,0.143554
70,64,295,0.003375,0.002831,429042.000000,56917.000000,0.132661
71,65,295,0.003373,0.002842,422877.000000,54362.000000,0.128553
72,66,295,0.003382,0.002857,435805.000000,59215.000000,0.135875
73,67,295,0.003379,0.002840,404071.000000,58662.000000,0.145177
74,68,295,0.003378,0.002937,447563.000000,61277.000000,0.136913
75,69,295,0.003374,0.002822,421487.000000,55284.000000,0.131164
76,69,295,0.003373,0.002815,382262.000000,50485.000000,0.132069
77,70,295,0.003376,0.002851,433925.000000,59604.000000,0.137360
78,70,295,0.003375,0.002837,433112.000000,58341.000000,0.134702
79,71,295,0.003382,0.002989,463529.000000,63410.000000,0.136798
80,72,295,0.003378,0.002893,436828.000000,60156.000000,0.137711
81,72,296,0.003376,0.002809,411456.000000,51668.000000,0.125574
82,73,296,0.003374,0.002846,435139.000000,57553.000000,0.132263
83,74,296,0.003492,0.003159,428627.000000,72338.000000,0.168767
84,74,296,0.003382,0.002988,415001.000000,61572.000000,0.148366
85,75,296,0.003376,0.002862,441701.000000,62786.000000,0.142146
86,76,296,0.003372,0.002821,416263.000000,52740.000000,0.126699
87,77,295,0.003405,0.003105,433366.000000,69287.000000,0.159881
88,78,295,0.003377,0.002827,425567.000000,56371.000000,0.132461
89,79,295,0.003375,0.002848,426584.000000,57232.000000,0.134163
90,80,295,0.003375,0.002829,398700.000000,58574.000000,0.146912
91,80,295,0.003372,0.002820,415014.000000,52178.000000,0.125726
92,80,295,0.003379,0.002911,442918.000000,58840.000000,0.132846
93,81,295,0.003375,0.002834,425574.000000,57189.000000,0.134381
94,81,295,0.003375,0.002842,428175.000000,55986.000000,0.130755
95,82,295,0.003386,0.002905,446367.000000,61358.000000,0.137461
96,83,295,0.003373,0.002822,421054.000000,55402.000000,0.131579
97,84,295,0.003375,0.002898,448590.000000,62313.000000,0.138909
98,84,295,0.003373,0.002836,427823.000000,54157.000000,0.126587
99,84,295,0.003380,0.002922,433492.000000,54078.000000,0.124750
100,85,295,0.003376,0.002857,440259.000000,59676.000000,0.135547
101,86,295,0.003391,0.003001,439604.000000,54587.000000,0.124173
102,86,295,0.003381,0.002879,415211.000000,62925.000000,0.151549
103,87,295,0.003383,0.002883,396735.000000,57744.000000,0.145548
104,87,295,0.003418,0.003120,432978.000000,56053.000000,0.129459
