frame,nb of entities,FPS,frame length,physics length,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-load-miss-ratio
0,3,301,0.002099,0.000020,553652.000000,32594.000000,0.058871
1,4,301,0.003328,0.000019,584937.000000,37188.000000,0.063576
2,5,301,0.003327,0.000029,579352.000000,36677.000000,0.063307
3,6,301,0.003322,0.000020,562623.000000,34160.000000,0.060716
4,7,301,0.003340,0.000019,564935.000000,34436.000000,0.060956
5,8,301,0.003328,0.000024,515270.000000,30356.000000,0.058913
6,9,301,0.003325,0.000020,565275.000000,34790.000000,0.061545
7,10,301,0.003326,0.000021,567424.000000,34936.000000,0.061569
8,11,301,0.003328,0.000020,564869.000000,34664.000000,0.061366
9,12,301,0.003334,0.000021,562326.000000,34789.000000,0.061866
10,13,301,0.003322,0.000026,531140.000000,31192.000000,0.058727
11,14,301,0.003341,0.000025,585545.000000,36046.000000,0.061560
12,14,301,0.003319,0.000021,551582.000000,34047.000000,0.061726
13,15,301,0.003342,0.000030,590569.000000,36469.000000,0.061752
14,16,301,0.003326,0.000031,581783.000000,36741.000000,0.063152
15,17,301,0.003322,0.000023,534416.000000,31483.000000,0.058911
16,18,301,0.003329,0.000028,573825.000000,35743.000000,0.062289
17,19,301,0.003326,0.000025,566684.000000,35040.000000,0.061833
18,20,301,0.003335,0.000023,561213.000000,35422.000000,0.063117
19,21,301,0.003340,0.000025,547034.000000,34503.000000,0.063073
20,22,301,0.003336,0.000028,522159.000000,31029.000000,0.059424
21,23,301,0.003322,0.000028,671464.000000,36226.000000,0.053951
22,24,302,0.003320,0.000052,696577.000000,39318.000000,0.056445
23,25,302,0.003322,0.000030,683778.000000,34712.000000,0.050765
24,26,302,0.003322,0.000025,693761.000000,34664.000000,0.049965
25,27,302,0.003324,0.000025,687832.000000,31844.000000,0.046296
26,28,302,0.003326,0.000025,699497.000000,35295.000000,0.050458
27,29,302,0.003322,0.000026,697061.000000,35141.000000,0.050413
28,30,302,0.003328,0.000040,710981.000000,40013.000000,0.056279
29,31,302,0.003328,0.000031,711202.000000,36866.000000,0.051836
30,32,302,0.003314,0.000042,635630.000000,34982.000000,0.055035
31,33,302,0.003323,0.000032,704062.000000,35540.000000,0.050479
32,33,302,0.003325,0.000030,656781.000000,34340.000000,0.052285
33,34,302,0.003319,0.000031,672618.000000,34705.000000,0.051597
34,35,302,0.003322,0.000027,670027.000000,34941.000000,0.052149
35,36,302,0.003329,0.000026,641377.000000,32184.000000,0.050180
36,37,302,0.003315,0.000035,704982.000000,35659.000000,0.050581
37,38,302,0.003326,0.000031,699806.000000,35780.000000,0.051128
38,39,302,0.003326,0.000030,673332.000000,35438.000000,0.052631
39,40,302,0.003321,0.000033,663351.000000,34979.000000,0.052731
40,41,302,0.003326,0.000032,671056.000000,31779.000000,0.047357
41,42,302,0.003328,0.000032,662930.000000,34977.000000,0.052761
42,42,302,0.003316,0.000033,671252.000000,34470.000000,0.051352
43,42,302,0.003324,0.000029,655331.000000,34350.000000,0.052416
44,43,302,0.003327,0.000030,670071.000000,35078.000000,0.052350
45,44,302,0.003322,0.000032,637080.000000,31893.000000,0.050061
